"time","jiangan","jianghan","qiaokou","hanyang","wuchang","qingshan","hongshan","dongxihu","caidian","jiangxia","huangpi","xinzhou","hannan","total"
"1517432400","8","14","3","13","15","5","14","5","2","7","3","0","1","90"
"1517421600","14","10","1","3","13","0","2","4","1","1","3","0","0","52"
"1517436000","10","17","8","22","22","9","21","19","10","6","11","1","0","156"
"1517439600","27","51","18","52","51","14","43","34","11","22","6","0","2","331"
"1517443200","57","70","19","48","88","25","65","32","18","26","15","0","2","465"
"1517446800","42","70","28","44","67","25","67","43","10","30","11","0","0","437"
"1517450400","46","80","23","58","89","9","52","35","10","21","12","0","0","435"
"1517454000","57","84","32","60","91","13","60","32","15","28","6","0","0","478"
"1517457600","51","80","25","54","101","29","71","51","21","16","7","0","0","506"
"1517461200","60","86","38","56","105","37","75","44","16","27","7","0","0","551"
"1517464800","46","72","31","74","82","24","54","27","13","24","2","0","0","449"
"1517468400","49","66","26","53","78","21","54","47","10","19","11","0","2","436"
"1517425200","4","7","3","5","3","1","0","3","1","0","0","0","0","27"
"1517414400","18","51","8","29","38","7","23","22","9","7","8","0","2","222"
"1517418000","5","12","4","10","7","2","12","10","4","10","4","0","0","80"
"1517428800","6","4","1","2","4","1","5","4","0","3","1","0","0","31"
"1517472000","56","71","18","42","83","27","50","40","14","32","8","1","1","443"
"1517475600","37","46","15","54","71","33","73","23","17","39","6","0","0","414"
"1517479200","38","61","21","63","61","19","62","22","18","26","6","0","0","397"
"1517482800","59","72","41","76","73","21","66","37","18","29","12","0","0","504"
"1517490000","47","74","31","75","65","16","47","37","15","20","7","1","0","435"
"1517486400","51","65","24","43","84","17","50","32","9","20","4","1","1","401"
"1517493600","31","51","42","50","60","16","33","41","9","9","14","0","1","357"
"1517497200","29","24","14","39","39","13","31","14","13","16","5","0","1","238"
"1517500800","29","27","5","18","29","11","21","13","5","11","3","0","1","173"
"1517504400","5","9","12","13","13","0","7","5","1","2","2","0","0","69"
"1517511600","8","2","1","3","1","1","1","6","0","0","1","0","0","24"
"1517508000","4","8","2","4","8","0","3","2","0","2","2","0","0","35"
"1517515200","0","1","1","4","2","0","3","0","1","1","0","0","0","13"
"1517518800","5","7","2","8","4","1","2","8","1","1","3","0","0","42"
"1517522400","11","20","5","14","24","6","28","17","4","13","1","0","0","143"
"1517526000","20","44","15","32","42","16","56","18","16","30","2","0","0","291"
"1517529600","40","63","20","59","70","14","64","35","15","29","9","0","1","419"
"1517536800","49","59","26","53","66","17","54","35","13","28","10","0","0","410"
"1517533200","41","83","16","57","83","18","55","35","8","24","3","0","1","424"
"1517540400","54","86","23","69","79","14","60","52","18","29","13","2","0","499"
"1517544000","62","105","30","85","76","19","42","54","23","15","10","0","0","521"
"1517547600","53","94","33","70","65","21","44","53","17","20","13","0","0","483"
"1517551200","55","65","23","62","73","18","69","29","15","34","12","0","0","455"
"1517554800","36","58","26","65","60","9","48","34","17","23","7","0","1","384"
"1517558400","43","58","32","62","70","17","55","42","21","25","6","0","0","431"
"1517565600","37","60","21","56","58","18","64","40","21","40","5","0","0","420"
